context,response,context_html,speaker,DialoGPT,BlenderBot-3B,COSMO-3B,GODEL-L
"['Margaret , do you think I should enroll in the science course ? ', "" Yes , I think so , If you want to graduated this year , you've got to take a science course . "", ' Right , I figure since you are doing premedical , you know about the very courses . ', ' Well , I have to take biology , chemistry , maps and physics.what you need is a good introductory course for non-science majors . ', ' Yes , I really weak in maps , I did poorly in high school . ']", That's a problem . ,"<b>ALICE:</b> Margaret , do you think I should enroll in the science course ? <br><b>BOB:</b>  Yes , I think so , If you want to graduated this year , you've got to take a science course . <br><b>ALICE:</b>  Right , I figure since you are doing premedical , you know about the very courses . <br><b>BOB:</b>  Well , I have to take biology , chemistry , maps and physics.what you need is a good introductory course for non-science majors . <br><b>ALICE:</b>  Yes , I really weak in maps , I did poorly in high school . ",BOB,"I am a biology major, I can take a geography course though"," I'm not sure if I want to be a doctor or a scientist, but I'm sure I'll figure it out.",I think you'll need a tutor for that and maybe someone else in the class to help. maybe we can take an online course together or something.,"Well, you should be able to pass the course."
['Did you watch the volleyball match last night ? '], Yeah . ,<b>ALICE:</b> Did you watch the volleyball match last night ? ,BOB,It looked more real than that game lol, I did! I was rooting for the U.S. team. What about you?,"Yeah, I did. I was really blown away by the way our team played.","Yes, I did. The first set was very exciting."
"[""I'm just calling to see if you have made any decision about the position . "", "" Sorry , we haven't made the decision at all . "", ' Do you have any idea when you might arrive at a decision ? ', ' We will let you know probably next Monday . I hope to give you a positive reply . ']", I'm willing to wait until you have come to a decision . ,"<b>ALICE:</b> I'm just calling to see if you have made any decision about the position . <br><b>BOB:</b>  Sorry , we haven't made the decision at all . <br><b>ALICE:</b>  Do you have any idea when you might arrive at a decision ? <br><b>BOB:</b>  We will let you know probably next Monday . I hope to give you a positive reply . ",ALICE,Okay. No problem., I have no idea when I will hear back from them.  I guess I will just have to wait and see.,"That's great news , thank you so much for letting me know . I really appreciate it .",Good luck to you and the firm!
"['Every time when heroes came back from the battlefield , we took our hats off to them . ']", You were showing respect and admiration for them . ,"<b>ALICE:</b> Every time when heroes came back from the battlefield , we took our hats off to them . ",BOB,I thought that was a pretty cool thing., I bet they were thankful for your sacrifice. What kind of hats did you wear?,I can't believe you're making a joke about war victims!,What did you say to him? It is always so nice to see an enemy come back.
['What time is our connecting flight ? ']," Let me check.Oh , oh ! It ’ s at 3:25 . ",<b>ALICE:</b> What time is our connecting flight ? ,BOB,In 10 mins, It is at 9am. I am so nervous. I have never flown on an airplane before.,It's at 4pm.,You are talking to a friend. Where is your connecting flight from?
['Our toner cartridges are already out of ink ... Could you make an order for a new set ? ']," We will need new cartridges for all of the office printers ? That will be a large order , probably about two or three cases . The office supply store we usually go through might not have that many in stock . ",<b>ALICE:</b> Our toner cartridges are already out of ink ... Could you make an order for a new set ? ,BOB,"Yes. If you PM me your order number please give me a shipping address, I can send you one."," Yes, I will do that as soon as I get home. Thank you for the quick response!",Is there something about ink cartridges that you are not comfortable with ?,I know that we're out of toner cartridges. Could you send me some?
"['Hi , who has the remote control ? ', ' I do . Why , do you want me to change the channel ? ', "" Yes , please . I can't stand watching the channel any more . "", "" I think they have pretty good programmes . But I'll change it if you really want . ""]"," Put it on Channel 5 , OK ? ","<b>ALICE:</b> Hi , who has the remote control ? <br><b>BOB:</b>  I do . Why , do you want me to change the channel ? <br><b>ALICE:</b>  Yes , please . I can't stand watching the channel any more . <br><b>BOB:</b>  I think they have pretty good programmes . But I'll change it if you really want . ",ALICE,"It's alright, they can stay on my channel."," I don't want you to change it, I was just wondering if anyone else had the same problem.","Yes , please . I'd appreciate that .",Do you have a choice?
"['Hi , could we have two orange juice smoothies ? ', ' Would you like those with yogurt ? ']"," Sure , why not ? ","<b>ALICE:</b> Hi , could we have two orange juice smoothies ? <br><b>BOB:</b>  Would you like those with yogurt ? ",ALICE,sure you can have them with any yogurt u want," I would love that! I love yoghurt, especially with fruit in it. What do you like to put in yours?","That sounds good , thank you !",Definitely! Can I have some fruit?
['Where do you want to go ? '], I'm going to the hospital . ,<b>ALICE:</b> Where do you want to go ? ,BOB,"Uhhh, somewhere with food and water. Any place is good."," I am not sure yet, but I am sure I will find a way to make it work.","I don't know, I just want to go somewhere.",Where are you going? You like being alone?
"['What dressing would you like on the salad ? ', ' French dressing , please . ', ' I beg your pardon ? ', ' Oh , French dressing . ', "" Sorry , it's not available now.Anything else ? ""]", We still prefer French dressing . ,"<b>ALICE:</b> What dressing would you like on the salad ? <br><b>BOB:</b>  French dressing , please . <br><b>ALICE:</b>  I beg your pardon ? <br><b>BOB:</b>  Oh , French dressing . <br><b>ALICE:</b>  Sorry , it's not available now.Anything else ? ",BOB,"Well, I do have a list for tonight :D And if you wanna do a salad, you know what you must!"," I would like some french dressing, it is a type of salad dressing that originated in France.","No , that won't work .","No, I'd like some Italian dressing."
['Have you eaten ? '], Not yet . ,<b>ALICE:</b> Have you eaten ? ,BOB,Just drank a large glass of water. No food," Yes, I've eaten, but I'm still hungry. I don't know why.","Yeah, I've had a few things.","Yes, I have. I have a bowl of rice and a bag of chips."
"['Hello . ', ' Hi . It ’ s Tony calling from the dentist ’ s office . Is Lily there ? ', ' No , Lily is not here at the moment . ', ' Could you ask her to call me back when she gets in ? ', ' Sure . What ’ s your number , please . ', ' 519 367 8901 . ', ' Thanks . And your name is Tony , right ? ', ' Yes . I ’ m Tony . Thank you very much . ', ' You ’ re welcome . Bye . ']", Bye . ,"<b>ALICE:</b> Hello . <br><b>BOB:</b>  Hi . It ’ s Tony calling from the dentist ’ s office . Is Lily there ? <br><b>ALICE:</b>  No , Lily is not here at the moment . <br><b>BOB:</b>  Could you ask her to call me back when she gets in ? <br><b>ALICE:</b>  Sure . What ’ s your number , please . <br><b>BOB:</b>  519 367 8901 . <br><b>ALICE:</b>  Thanks . And your name is Tony , right ? <br><b>BOB:</b>  Yes . I ’ m Tony . Thank you very much . <br><b>ALICE:</b>  You ’ re welcome . Bye . ",BOB,And bye!," Yes, I am Tony.  I am a dental hygienist.",Bye .,Bye. Bye.
"['Excuse me . Check please . ', ' OK , how was everything ? ', ' Very nice . Thank you . ', ' Would you like this to-go ? ', ' Yes , can you put it in a plastic bag ? ', "" Sure , no problem . Here you are . That'll be 25 dollars . "", ' Do you take credit cards ? ']"," Yes , we accept Visa and MasterCard . ","<b>ALICE:</b> Excuse me . Check please . <br><b>BOB:</b>  OK , how was everything ? <br><b>ALICE:</b>  Very nice . Thank you . <br><b>BOB:</b>  Would you like this to-go ? <br><b>ALICE:</b>  Yes , can you put it in a plastic bag ? <br><b>BOB:</b>  Sure , no problem . Here you are . That'll be 25 dollars . <br><b>ALICE:</b>  Do you take credit cards ? ",BOB,"Not this time, but the amount can be changed upon request.", I'm not sure what you mean. Are you asking if I have a credit card?,"Yes , we do .","I do not, but you can get a card here."
"['I am so glad I caught you at home . I need your help ! ', "" What's up , Robert ? ""]"," Cafe au lait , cafe latte , cappuccino , cafe mocha ... I can't keep them all straight ! ","<b>ALICE:</b> I am so glad I caught you at home . I need your help ! <br><b>BOB:</b>  What's up , Robert ? ",ALICE,Nothing. He smiles and waves as he begins to walk away.," Not much, just got home from work. How are you?..",I'm in a bit of a bind and I could really use a friend right now.,"Oh, I'm fine. I'll call you when we get home. I'Ve got an assignment to do."
"['Susan is going to get a divorce . ', ' How do you know that ? ']"," She told me that Peter and she has a quarrel last nigh , and she left this morning , bag and baggage . ",<b>ALICE:</b> Susan is going to get a divorce . <br><b>BOB:</b>  How do you know that ? ,ALICE,Probably that it is the most plausible theory.," I don't know for sure, but I feel like it's inevitable at this point.","I just know it. She's been acting really strange lately and she's been distant. Plus, she's been talking about getting a divorce with her fiancé, so I'm pretty sure she's planning to do it.",Because Susan is marrying a millionaire.
"[""We've managed to reduce our energy consumption in our factory by about 15 per cent in the last two years . "", "" That's excellent . How have you managed that ? "", "" Mainly because we've invested in a heat recovery system . "", ' What does that mean exactly ? ', ' Well , we use the exhaust gases from our printing presses to provide energy to heat our dryers . ']", What other sources of energy do you use ? ,"<b>ALICE:</b> We've managed to reduce our energy consumption in our factory by about 15 per cent in the last two years . <br><b>BOB:</b>  That's excellent . How have you managed that ? <br><b>ALICE:</b>  Mainly because we've invested in a heat recovery system . <br><b>BOB:</b>  What does that mean exactly ? <br><b>ALICE:</b>  Well , we use the exhaust gases from our printing presses to provide energy to heat our dryers . ",BOB,"Ah, that makes a lot more sense.", That sounds like a lot of work.  Do you think you'll be able to do it?,Is that environmentally friendly ?,"That's great! If I may ask you something, can you explain more?"
"['What is life ? ', "" Don't ask such a question . You know it has no certain answer . Everyone knows it is in his heart . "", ' Then do you think that life is arranged by something above us . ']"," Maybe , the whirligig of time , who knows ? ",<b>ALICE:</b> What is life ? <br><b>BOB:</b>  Don't ask such a question . You know it has no certain answer . Everyone knows it is in his heart . <br><b>ALICE:</b>  Then do you think that life is arranged by something above us . ,BOB,This is the beginning of a beautiful friendship. I am going to tell him that we're all in his heart... the things that fascinate and unite him.," I don't know, but I do know that there is no right or wrong way to live your life.",I am not sure. what i am sure of is what you are feeling is the fact that we're alive and need to enjoy ourselves now. life is very short and we should make the most of every moment.,The question is not above us. It is in the heart.
"[""Good morning . What's the matter with you ? ""]"," Good morning , doctor . I have a terrible headache . ",<b>ALICE:</b> Good morning . What's the matter with you ? ,BOB,"Well, that was a strange thing to ask. Are you having trouble telling me if I'm a girl or male?", I am having a hard time waking up in the morning. How about you?,"I'm really upset and angry right now. I overslept and my day is going to be ruined because of it. I've been trying to take care of the kids myself, but I can't afford to pay for a babysitter or two. So I'm going to bed early and hoping that my day will get better soon.","I'm very happy with my job, but my wife is unhappy with my attitude."
['The Phoenix team overpowered its counterpart 86 to 50 . '], They're absolutely right to get a replacement for 21 . ,<b>ALICE:</b> The Phoenix team overpowered its counterpart 86 to 50 . ,BOB,and then came the super mario team, I didn't know that. I'll have to check it out. I don't know much about them.,Can you explain your view of phoenix team?,"How did they win that game, in their backyard?"
"['Has Robert ever missed coming to one of our parties ? ', ' Only once or twice at the most . ', ' Do you know why ? ']", I have no idea . ,<b>ALICE:</b> Has Robert ever missed coming to one of our parties ? <br><b>BOB:</b>  Only once or twice at the most . <br><b>ALICE:</b>  Do you know why ? ,BOB,She looks at you unsure., I don't think so. He was always there when we needed him. I miss him a lot.,I'm not sure if it has anything to do with his job or school.,He works and doesn't have the time.
"[""There's a new girl in school , have you seen her yet ? "", "" I haven't seen her yet . "", ' I think that she is very pretty . ', ' Tell me how she looks . ', "" She's kind of short . "", ' What height is she ? ', "" She's probably about five feet . ""]"," That's nice , but tell me what she looks like . ","<b>ALICE:</b> There's a new girl in school , have you seen her yet ? <br><b>BOB:</b>  I haven't seen her yet . <br><b>ALICE:</b>  I think that she is very pretty . <br><b>BOB:</b>  Tell me how she looks . <br><b>ALICE:</b>  She's kind of short . <br><b>BOB:</b>  What height is she ? <br><b>ALICE:</b>  She's probably about five feet . ",BOB,I will just get a box of milk from the local convenience store and make her myself.," I'm not sure how tall she is, but I know she's blonde and pretty.",She sounds really pretty .,What do you think? Do you think she is gay?
"['A friend of mine has been taking an online career planning course these days . He told me the other day he has learned a lot from it . He recommended me to subscribe to it . What do you say ? ', ' I think it is good if we know enough about career planning . We will make wiser choices . What else did he tell you about it ? ', ' Well , just something in general , like several key steps in planning career and how to set specific and tenable goals . ']"," Sounds practical ! To be honest , sometimes I feel puzzled about my future career . I am not sure if this job suits me the best though I work very hard on it and enjoy being a hard worker . I have always wanted to try something else and learn some new skills . ","<b>ALICE:</b> A friend of mine has been taking an online career planning course these days . He told me the other day he has learned a lot from it . He recommended me to subscribe to it . What do you say ? <br><b>BOB:</b>  I think it is good if we know enough about career planning . We will make wiser choices . What else did he tell you about it ? <br><b>ALICE:</b>  Well , just something in general , like several key steps in planning career and how to set specific and tenable goals . ",BOB,"I'm no expert, just that guy who can play. I hope it works out."," That sounds like a good idea, I'll have to look into that. I'm not sure what else he told me about it",It is good to know the basics of career planning so that we can make more informed decisions about our future jobs. it is also good to be aware of current trends and what jobs might be available.,So that is pretty good. We should subscribe to it.
"[""It's quit a big cafeteria , isn't it ? "", ' Sure . I usually have my lunch here . The food is tasty and they offer a big variety . ', "" Let's line up . The steak is very inviting . I'll have it . ""]", I'll have ham and egg with French fries . What dessert do you want ? ,"<b>ALICE:</b> It's quit a big cafeteria , isn't it ? <br><b>BOB:</b>  Sure . I usually have my lunch here . The food is tasty and they offer a big variety . <br><b>ALICE:</b>  Let's line up . The steak is very inviting . I'll have it . ",BOB,I'm down., I love steak. It's one of my favorite foods. Do you like it well done?,I think I'll have the chicken sandwich .,You should try it first. It's delicious.
"[""Only one . But I wanted to make sure I'd get it . "", ' Yeah , I really wanted that Chanel bag , too . But just in case you should bid low . ']", But there are only two more days until the bidding closes ! ,"<b>ALICE:</b> Only one . But I wanted to make sure I'd get it . <br><b>BOB:</b>  Yeah , I really wanted that Chanel bag , too . But just in case you should bid low . ",ALICE,Lol yeah. It's probably going to be a hard thing to keep my mind on for awhile!, I think I am going to go for it.  I can't wait to get it!,Good point . I'll try to keep my bid down . Thanks for the advice !,"I know. I'm sorry, I have a bad memory."
"['Cindy , how come nearly all the prime-time TV shows are comedies ? ', "" That's because Americans love sitcoms . ""]", Sitcoms ? ,"<b>ALICE:</b> Cindy , how come nearly all the prime-time TV shows are comedies ? <br><b>BOB:</b>  That's because Americans love sitcoms . ",ALICE,I wonder if they do the same for comedies," I don't know, but I like them a lot.  Do you have a favorite?",I guess you're right. I just find them funny and I want to watch more.,"Oh, I see. But I don't know if it explains why they love sitcoms more."
['I had an accident . '], That's terrible ! ,<b>ALICE:</b> I had an accident . ,BOB,A accident? what happened? I must of not heard you or something.., Oh no! How did that happen? I am so sorry to hear that!,Are you okay?,Why? Did you die?
"['excuse me , could you tell me which line I ’ m supposed to stand in to buy bubble wrap and to post a package ? ', ' you can buy the bubble wrap here , but you ’ ll have to stand in line over here to post your passage . ']", that ’ s a really long line . How long do you think it ’ ll take to get through all those people ? ,"<b>ALICE:</b> excuse me , could you tell me which line I ’ m supposed to stand in to buy bubble wrap and to post a package ? <br><b>BOB:</b>  you can buy the bubble wrap here , but you ’ ll have to stand in line over here to post your passage . ",ALICE,I appreciate the effort you're putting into all of this., You can buy it at any supermarket or drugstore. It's used to protect packages from damage during transit.,"Ok, thanks. Do you know how long the line is for the bubble wrap?","oh, okay."
['Do you think they two will get married ? ']," Yeah , you can count on it . ",<b>ALICE:</b> Do you think they two will get married ? ,BOB,They'll have to wait for me to get married before i do., I hope so. They have been together for so long. He proposed last year.,"I think they are in love and have a connection, so they should get married.",No. I'm not sure.
"['I need help using the washer and dryer . ', ' Tell me what the problem is . ', "" I can't figure out how to turn them on . "", ' Do you have some quarters ? ', "" I didn't know I needed change . "", ' The washer costs 50 cents and the dryer costs a dollar . ', ' Where do I put the change ? ']"," The quarters go into the slot . You have to push the slot in , and the machine will turn on . ",<b>ALICE:</b> I need help using the washer and dryer . <br><b>BOB:</b>  Tell me what the problem is . <br><b>ALICE:</b>  I can't figure out how to turn them on . <br><b>BOB:</b>  Do you have some quarters ? <br><b>ALICE:</b>  I didn't know I needed change . <br><b>BOB:</b>  The washer costs 50 cents and the dryer costs a dollar . <br><b>ALICE:</b>  Where do I put the change ? ,BOB,Where do you want to put the change?," I do not have a washer or dryer, but I do have a dishwasher.",You put it in the dispenser . Then you wait for the machine to finish its cycle and turn it off .,Place it at the end of the hose and in a pocket.
"['Good afternoon ! Trans Pacific Airline . How can I help you ? ', ' I ’ m calling to cancel my reservation for Trans Pacific Flight 8 on July 19 from Taipei to Minneapolis . Could you please make it for the same flight on August 2 instead of July 19 ? ']"," What ’ s your name , please ? ",<b>ALICE:</b> Good afternoon ! Trans Pacific Airline . How can I help you ? <br><b>BOB:</b>  I ’ m calling to cancel my reservation for Trans Pacific Flight 8 on July 19 from Taipei to Minneapolis . Could you please make it for the same flight on August 2 instead of July 19 ? ,ALICE,I just received confirmation for a refund from the airline about a week ago. Was your flight cancelled as well?," That would be great, thank you so much! I hope you have a good day!",Certainly . Let me pull up your reservation and see if that is possible .,"Yes, that's fine."
"[""I have a complaint to make . The bill you sent me was incorrect . What's more , it isn't the first time "", ' Well , I must apologize , madam . We have new computers here , you know . ']", Don't you think it's about time you got them working properly ? ,"<b>ALICE:</b> I have a complaint to make . The bill you sent me was incorrect . What's more , it isn't the first time <br><b>BOB:</b>  Well , I must apologize , madam . We have new computers here , you know . ",ALICE,I am ashamed of myself.," Oh, I see. Well, I'm sorry to hear that, but I'm glad you were able to resolve the issue.","Yes , but that doesn't change the fact that I've been getting these bills wrong for weeks now . It's frustrating .","Oh, I was just shocked. The price of the room was right."
"['What is your nationality ? ', ' I am Chinese by birth . ']", Where is your domicile place ? ,<b>ALICE:</b> What is your nationality ? <br><b>BOB:</b>  I am Chinese by birth . ,ALICE,I think his point may be more towards nationality than citizenship. It's pretty much a tossup.," I'm American, but I was born and raised in Hong Kong. How about you?",What is it like living in chinese countries ?,Can you tell me more about your family?
"['Like a cat on hot bricks , as you might say . I don ’ t believe you are listening at all . ', ' Sorry , I just worried about him . You know , he should be here an hour ago . ', ' Don ’ t worry him , he has been grown up and I think he can take himself very well . ']", But he still does not come back . ,"<b>ALICE:</b> Like a cat on hot bricks , as you might say . I don ’ t believe you are listening at all . <br><b>BOB:</b>  Sorry , I just worried about him . You know , he should be here an hour ago . <br><b>ALICE:</b>  Don ’ t worry him , he has been grown up and I think he can take himself very well . ",BOB,"Thank you for the correction, but there is no point in correcting someone like that, they make a great father.", I'm sorry to hear that. I hope everything works out for you and him.,"Yeah , you’re probably right .","I am pretty sure that he is the smallest guy I know, you know."
['Do you believe in UFOs ? ']," Of course , they are out there . ",<b>ALICE:</b> Do you believe in UFOs ? ,BOB,I like to believe in the moon.," I don't believe in aliens, but I do believe in unidentified flying objects.",I'm not sure. what do you think about them?,I believe in UFOs. Do you?
"['I often recalled the days when Tom and I were madly in love . ', ' Very romantic ? ', ' Yeah . He always tickled my finny bone with his college stories . ', ' You married him for that reason ? ']", Definitely not . The most important thing was we loved each other . ,<b>ALICE:</b> I often recalled the days when Tom and I were madly in love . <br><b>BOB:</b>  Very romantic ? <br><b>ALICE:</b>  Yeah . He always tickled my finny bone with his college stories . <br><b>BOB:</b>  You married him for that reason ? ,ALICE,I love you too," Yes, he was my best friend and I loved him so much. I miss him a lot.","Of course not ! It wasn't just his college stories . I married him because he was kind and caring , and I wanted to share my life with him .",Yea. He was the best man I ever had.
"['What would you like to eat , sir ? ', ' Scrambled egg , bacon , three pieces of bread and a cup of tea . ', ' Would you care for some lemon for your tea ? ']"," No , thank you . ","<b>ALICE:</b> What would you like to eat , sir ? <br><b>BOB:</b>  Scrambled egg , bacon , three pieces of bread and a cup of tea . <br><b>ALICE:</b>  Would you care for some lemon for your tea ? ",BOB,"Coffee, sir?"," I would love some tea right now, thank you! I am a ma'am.",Yes please . Thank you .,"I would like to add some lemon to the tea, please."
['How about another beer ? ']," No , thanks . I've had more than enough.In fact , I must be running along . ",<b>ALICE:</b> How about another beer ? ,BOB,"What else would you want to be out drinking? I'm not the king of drinks, after all."," I don't drink beer, but I might have a glass of wine. I'm trying to cut back.","Thanks , but I'm going to stay sober for the rest of the night. I don't want to get too drunk and make bad decisions.",No thanks. It is not a good idea.
"['Have you heard what happened ? ', ' Heard what ? ', ' Deborah already had her baby . ', "" I didn't know that . "", ' I thought you knew . ', "" I honestly didn't know . "", ' The baby was 8 pounds 6 ounces . ']", That's good to hear . ,<b>ALICE:</b> Have you heard what happened ? <br><b>BOB:</b>  Heard what ? <br><b>ALICE:</b>  Deborah already had her baby . <br><b>BOB:</b>  I didn't know that . <br><b>ALICE:</b>  I thought you knew . <br><b>BOB:</b>  I honestly didn't know . <br><b>ALICE:</b>  The baby was 8 pounds 6 ounces . ,BOB,You should go to the hospital, I did not know that either.  I thought she was still pregnant. I don't know why.,"Oh my gosh , that's amazing !",It was a baby.
"[""Hi , there . Look at these . I have collected some ads here . There is a special promotion for Mother's Day this weekend . "", "" Oh , yes . Mother's Day is coming . Do you plan to buy anything ? ""]"," Of course . I want to buy some night cream for my mom , and some masques for myself . ","<b>ALICE:</b> Hi , there . Look at these . I have collected some ads here . There is a special promotion for Mother's Day this weekend . <br><b>BOB:</b>  Oh , yes . Mother's Day is coming . Do you plan to buy anything ? ",ALICE,i dunno i've been looking forward to the holiday season to spend all of it with you. I had to work last night and it's getting tough., I am not sure yet. I think I am going to wait and see what the sales are like.,"Yes , I think I will buy a new scarf and some jewelry . What about you ? Are you going to be buying anything ?","No, I have to work today. How about some gifts?"
